IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400984,rsi,18728724,2429,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,7.828272,48.25870646766169,51.74129353233831
4009a0,rdx,18734851,3129,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.830838,48.25870646766169,51.74129353233831
400990,r12,18791529,14607,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,7.854574,48.756218905472636,51.243781094527364
400984,rsi,18807725,11383,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.861357,48.25870646766169,51.74129353233831
4009a7,rsi,18858899,11951,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.882788,48.25870646766169,51.74129353233831
4009a0,rdx,18860925,2861,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.883636,48.756218905472636,51.243781094527364
400984,rsi,18863391,4389,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.884669,48.756218905472636,51.243781094527364
4009a0,rdx,18876811,11784,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.890289,48.756218905472636,51.243781094527364
4009a7,rsi,18880024,10194,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.891635,49.25373134328358,50.74626865671642
4009a0,rdx,18911469,11315,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.904803,49.25373134328358,50.74626865671642
400984,rsi,18927949,3258,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,7.911705,49.75124378109453,50.24875621890547
4009a7,rsi,18942346,3373,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,7.917734,49.75124378109453,50.24875621890547
4009a0,rdx,18961389,5288,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.925709,49.25373134328358,50.74626865671642
4009a0,rdx,18978562,6351,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.932901,49.25373134328358,50.74626865671642
400984,rsi,18986657,3453,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,7.936291,49.75124378109453,50.24875621890547
4009c1,rflags,19019258,9228,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,7.949944,49.75124378109453,50.24875621890547
4009b6,rax,19028655,10314,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x38(%rsp),%eax",1,0,7.953879,49.25373134328358,50.74626865671642
4009a5,rax,19068562,7136,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.970592,49.75124378109453,50.24875621890547
4009b1,rcx,19069890,12257,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",1,0,7.971148,49.25373134328358,50.74626865671642
4009ba,rcx,19070724,6373,crash,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",0,1,7.971497,49.75124378109453,50.24875621890547
4009a5,rax,19098917,11644,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,7.983304,49.75124378109453,50.24875621890547
4009a0,rdx,19120119,3252,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.992183,49.75124378109453,50.24875621890547
