IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400fe0,xmm0,54550753,1999,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,26.625156,62.6865671641791,37.3134328358209
400cd0,rbx,54584002,3201,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,26.641394,62.6865671641791,37.3134328358209
400f19,rbx,54774231,678,crash,<alloc_1d_dbl>,test,"test, %rax,%rax",0,1,26.734296,62.6865671641791,37.3134328358209
400ff5,rflags,55151672,196,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,26.918625,62.6865671641791,37.3134328358209
400d98,rflags,55178102,2114,crash,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",0,1,26.931533,62.6865671641791,37.3134328358209
4012eb,rdx,55205418,1371,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,26.944873,62.6865671641791,37.3134328358209
400ff5,xmm0,55212026,3249,crash,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",0,1,26.9481,62.6865671641791,37.3134328358209
400fe0,rax,55365111,3031,crash,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",0,1,27.022862,62.18905472636816,37.81094527363184
400ccc,xmm0,55470515,2462,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",0,1,27.074338,62.18905472636816,37.81094527363184
400daa,xmm0,55529007,191,masked,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",1,0,27.102903,62.18905472636816,37.81094527363184
400ff1,xmm0,55819488,219,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,27.244764,62.18905472636816,37.81094527363184
400d9c,xmm0,55930790,1007,masked,<bpnn_layerforward._omp_fn.0>,movss,"movss, (%rdx,%rbx,1),%xmm0",1,0,27.299121,62.18905472636816,37.81094527363184
4012d8,rbx,55968969,2343,masked,<bpnn_create>,xor,"xor, %ecx,%ecx",1,0,27.317766,62.18905472636816,37.81094527363184
400fe8,xmm0,56059810,2868,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,27.36213,62.18905472636816,37.81094527363184
400fe0,rflags,56081025,2097,masked,<bpnn_randomize_weights>,mov,"mov, (%r15,%r14,8),%rax",1,0,27.37249,62.18905472636816,37.81094527363184
400fe4,rflags,56114633,440,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,27.388903,61.691542288557216,38.308457711442784
400cd9,rdx,56128999,3000,masked,<bpnn_adjust_weights._omp_fn.1>,mulsd,"mulsd, %xmm1,%xmm0",1,0,27.395919,62.18905472636816,37.81094527363184
400cd0,rflags,56295012,2777,crash,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",0,1,27.476994,62.6865671641791,37.3134328358209
400f78,rflags,56454888,535,masked,<alloc_2d_dbl>,xor,"xor, %eax,%eax",1,0,27.555073,62.6865671641791,37.3134328358209
400fe8,rdx,56505375,3166,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,27.579729,62.18905472636816,37.81094527363184
400cd0,rflags,56650375,1889,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,27.650542,62.18905472636816,37.81094527363184
400ff1,rax,56742188,829,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,27.69538,62.18905472636816,37.81094527363184
400daa,rflags,56917125,1039,masked,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",1,0,27.780814,62.6865671641791,37.3134328358209
400cd0,rbp,56995694,104,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,27.819184,62.18905472636816,37.81094527363184
