IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
424d6f,rax,5857408,13234,masked,,,,1,0,44.650459,38.80597014925373,57.711442786069654
40466f,None,5857456,8486,sdc,,,,0,0,44.650825,39.30348258706468,57.21393034825871
492544,rsp,5857752,6364,masked,,,,1,0,44.653082,39.30348258706468,57.21393034825871
462022,r13,5857904,4689,masked,,,,1,0,44.654241,39.30348258706468,57.21393034825871
461f41,rax,5859028,1118,crash,,,,0,1,44.662811,39.30348258706468,57.21393034825871
4804d0,rcx,5859028,1118,masked,,,,1,0,44.662811,39.80099502487562,56.71641791044776
461e90,rsp,5859099,8047,crash,,,,0,1,44.663352,39.80099502487562,56.71641791044776
47ff80,rsp,5859099,10802,crash,,,,0,1,44.663352,39.80099502487562,56.71641791044776
461e90,rcx,5859259,9618,crash,,,,0,1,44.664572,39.80099502487562,56.71641791044776
456029,rsp,5859329,13432,masked,,,,1,0,44.665106,39.30348258706468,57.21393034825871
426a58,r12,5859625,11842,crash,,,,0,1,44.667363,39.30348258706468,57.21393034825871
493e35,rsp,5860762,11378,crash,,,,0,1,44.676032,39.30348258706468,57.21393034825871
47e3c6,rcx,5862174,10969,crash,,,,0,1,44.686798,39.80099502487562,56.71641791044776
426e2f,rsi,5862339,9576,crash,,,,0,1,44.688056,39.80099502487562,56.71641791044776
461f48,xmm0,5864585,841,crash,,,,0,1,44.705182,39.80099502487562,56.71641791044776
461f45,xmm0,5864587,9138,crash,,,,0,1,44.705197,39.80099502487562,56.71641791044776
404a09,rax,5866053,14704,masked,,,,1,0,44.716375,39.30348258706468,57.21393034825871
48036e,rdi,5866321,9100,crash,,,,0,1,44.718418,39.30348258706468,57.21393034825871
485842,rcx,5867420,1991,masked,,,,1,0,44.726798,38.80597014925373,57.711442786069654
482430,rsp,5868247,1028,crash,,,,0,1,44.733104,38.80597014925373,57.711442786069654
470120,r11,5868375,14021,crash,,,,0,1,44.73408,38.308457711442784,58.208955223880594
455c88,xmm1,5869267,8649,masked,,,,1,0,44.740881,37.81094527363184,58.70646766169154
40597b,rax,5869403,2870,masked,,,,1,0,44.741918,37.81094527363184,58.70646766169154
480376,rax,5870740,12173,crash,,,,0,1,44.752112,37.81094527363184,58.70646766169154
4924f5,rflags,5870968,4197,masked,,,,1,0,44.753851,37.3134328358209,59.20398009950249
461e90,xmm1,5871428,75,masked,,,,1,0,44.757358,37.3134328358209,59.20398009950249
40468d,r10,5871686,7394,crash,,,,0,1,44.759325,36.81592039800995,59.701492537313435
47030a,rflags,5872625,12568,masked,,,,1,0,44.766485,36.81592039800995,59.701492537313435
461740,rcx,5873177,10683,crash,,,,0,1,44.770694,36.81592039800995,59.701492537313435
470274,rsp,5874981,2064,crash,,,,0,1,44.784449,36.81592039800995,59.701492537313435
41185a,xmm0,5876391,5060,crash,,,,0,1,44.7952,36.81592039800995,59.701492537313435
4115d2,rsp,5876672,7459,crash,,,,0,1,44.797342,36.318407960199,60.19900497512438
411a12,rax,5876792,3717,crash,,,,0,1,44.798257,35.82089552238806,60.69651741293532
4702fb,rax,5877067,5458,crash,,,,0,1,44.800354,36.318407960199,60.19900497512438
461e90,rsi,5877213,11333,crash,,,,0,1,44.801467,36.318407960199,60.19900497512438
461f58,xmm0,5877246,1308,masked,,,,1,0,44.801719,36.318407960199,60.19900497512438
41185e,r9,5878048,11080,masked,,,,1,0,44.807834,36.318407960199,60.19900497512438
461f38,rsp,5878125,9346,crash,,,,0,1,44.808421,36.318407960199,60.19900497512438
403778,rax,5878376,9364,crash,,,,0,1,44.810335,36.81592039800995,59.701492537313435
461f48,rax,5878843,8710,masked,,,,1,0,44.813896,37.3134328358209,59.20398009950249
4269b0,rflags,5878982,9762,sdc,,,,0,0,44.814955,37.81094527363184,58.70646766169154
4702e4,rdx,5879285,13829,crash,,,,0,1,44.817266,37.81094527363184,58.70646766169154
461e90,rsp,5879500,6321,masked,,,,1,0,44.818905,37.81094527363184,58.70646766169154
425224,xmm1,5879706,11055,masked,,,,1,0,44.820476,38.308457711442784,58.208955223880594
484eb0,rsp,5880220,12825,crash,,,,0,1,44.824395,38.308457711442784,58.208955223880594
461f41,xmm0,5880415,14685,masked,,,,1,0,44.825882,38.308457711442784,58.208955223880594
485847,rsi,5880504,14356,crash,,,,0,1,44.82656,37.81094527363184,58.70646766169154
480371,rsp,5881479,1765,masked,,,,1,0,44.833994,37.81094527363184,58.70646766169154
46fd25,rax,5882209,3388,crash,,,,0,1,44.839561,37.3134328358209,59.20398009950249
426e5d,rdx,5882956,6025,crash,,,,0,1,44.845256,37.3134328358209,59.20398009950249
461e90,xmm1,5883721,592,crash,,,,0,1,44.851089,36.81592039800995,59.701492537313435
411953,rflags,5883721,592,crash,,,,0,1,44.851089,36.318407960199,60.19900497512438
42510c,rdx,5884090,6625,crash,,,,0,1,44.853903,36.318407960199,60.19900497512438
46fd78,rflags,5884253,1452,crash,,,,0,1,44.855146,35.82089552238806,60.69651741293532
