IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42be10,rax,313393797,76,sdc,<HPL_ladd>,shl,"shl, $0x10,%ecx",0,0,1,64.475373,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42bebe,rsi,315140202,171,masked,<HPL_lmul>,mov,"mov, %esi,%ebx",1,0,0,64.836223,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
420aa2,r11,316077091,138,sdc,<HPL_rand>,movzwl,"movzwl, %ax,%esi",0,0,1,65.029807,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42bebc,rcx,318691362,146,masked,<HPL_lmul>,add,"add, %ebx,%esi",1,0,0,65.569979,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42be98,None,320028494,183,masked,<HPL_lmul>,shr,"shr, $0x10,%edi",1,0,0,65.846263,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
42bf00,rsi,321021281,176,crash,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,1,0,66.051398,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
42bf0c,r11,321603372,315,sdc,<HPL_lmul>,mov,"mov, -0x1c(%rsp),%r9d",0,0,1,66.171672,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
420a74,xmm0,321630624,46,sdc,<HPL_rand>,mov,"mov, $0x3,%edi",0,0,1,66.177303,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
420aac,rbx,321693714,467,sdc,<HPL_rand>,cvtsi2sd,"cvtsi2sd, %esi,%xmm2",0,0,1,66.190339,24.378109452736318,9.45273631840796,66.16915422885572,90.54726368159204
42bf00,r15,322962032,127,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,66.452404,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42bdd0,rcx,324322380,344,sdc,<HPL_setran>,callq,"callq, 42bdd0, <HPL_ladd>",0,0,1,66.733486,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42bddf,rdi,324666627,213,sdc,<HPL_ladd>,movzwl,"movzwl, %r10w,%edi",0,0,1,66.804615,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42be20,r9,324894588,368,sdc,<HPL_ladd>,add,"add, %esi,%eax",0,0,1,66.851718,23.383084577114428,9.45273631840796,67.16417910447761,90.54726368159204
42bf00,xmm1,325551741,242,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,66.987502,23.880597014925375,9.45273631840796,66.66666666666667,90.54726368159204
42bf06,r8,325685363,392,sdc,<HPL_lmul>,movzwl,"movzwl, -0x20(%rsp),%r11d",0,0,1,67.015111,23.880597014925375,8.955223880597014,67.16417910447761,91.04477611940298
42be31,xmm1,327092270,92,masked,<HPL_ladd>,add,"add, %esi,%eax",1,0,0,67.305813,23.880597014925375,8.955223880597014,67.16417910447761,91.04477611940298
42bedd,rdi,327839154,193,masked,<HPL_lmul>,shr,"shr, $0x10,%esi",1,0,0,67.460137,24.378109452736318,8.955223880597014,66.66666666666667,91.04477611940298
42bde9,xmm13,327989850,126,sdc,<HPL_ladd>,shr,"shr, $0x10,%r10d",0,0,1,67.491275,24.378109452736318,8.955223880597014,66.66666666666667,91.04477611940298
420ad4,rdx,328299182,67,sdc,<HPL_rand>,addsd,"addsd, %xmm2,%xmm1",0,0,1,67.55519,24.378109452736318,8.955223880597014,66.66666666666667,91.04477611940298
42bea3,rbx,329895210,343,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,67.884969,24.378109452736318,8.955223880597014,66.66666666666667,91.04477611940298
42be36,rsi,330577228,285,sdc,<HPL_ladd>,or,"or, %edi,%eax",0,0,1,68.02589,24.875621890547265,8.955223880597014,66.16915422885572,91.04477611940298
42bddb,rcx,332144837,460,sdc,<HPL_ladd>,movzwl,"movzwl, %cx,%r8d",0,0,1,68.349797,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42befc,rbx,332213936,299,masked,<HPL_lmul>,add,"add, $0x4,%rax",1,0,0,68.364074,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42be6d,xmm1,332687394,161,sdc,<HPL_lmul>,movzwl,"movzwl, %r11w,%r9d",0,0,1,68.461902,24.875621890547265,9.45273631840796,65.67164179104478,90.54726368159204
42bea8,rax,332840013,262,sdc,<HPL_lmul>,shr,"shr, $0x10,%edi",0,0,1,68.493437,25.37313432835821,8.955223880597014,65.67164179104478,91.04477611940298
42bf00,rbx,335103797,336,crash,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,1,0,68.96119,25.870646766169155,8.955223880597014,65.17412935323384,91.04477611940298
42be8f,xmm1,337048461,95,masked,<HPL_lmul>,mov,"mov, %ebx,%edi",1,0,0,69.363006,26.3681592039801,8.955223880597014,64.67661691542288,91.04477611940298
